Wie lautet die Markoffsche Ungleichung?,"Existiert $E[|X|^k]$ für ein $k\in\mathbb{N}$, so existiert auch $E[X]$, und für alle $h>0$ gilt $P(|X-E[X]|\ge h) \le \dfrac{E[|X-E[X]|^k]}{h^k}$."
Wie lautet die Tschebyscheffsche Ungleichung (Spezialfall $k=2$ der Markoffschen Ungleichung)?,"Für eine Zufallsvariable $X$, deren Erwartungswert und Varianz existieren, gilt für alle $h>0$: $P(|X-E[X]|\ge h) \le \dfrac{\operatorname{Var}(X)}{h^2}$."
Warum ist die Tschebyscheffsche Ungleichung praktisch nützlich?,"Sie liefert eine universelle obere Schranke für die Wahrscheinlichkeit, dass $X$ um mindestens $h$ vom Erwartungswert abweicht -- und das, obwohl man dafür nur Erwartungswert und Varianz von $X$ kennen muss, nicht die vollständige Verteilung."
Kann die Tschebyscheffsche Ungleichung im Allgemeinen verbessert werden?,"Nein. Es gibt Zufallsvariablen, für die für ein bestimmtes $h$ in der Ungleichung Gleichheit gilt (die Schranke $\operatorname{Var}(X)/h^2$ also exakt erreicht wird). Die Ungleichung ist somit scharf und kann nicht universell verbessert werden -- für andere Werte von $h$ kann dieselbe Schranke aber sehr grob sein."
"Wie nutzt man die Tschebyscheffsche Ungleichung, um eine Mindestanzahl $N$ von Versuchswiederholungen zu bestimmen, sodass die relative Häufigkeit mit vorgegebener Sicherheit nur wenig vom wahren Parameter abweicht?","Man modelliert $S_N$ als binomialverteilt mit Parametern $N,p$, nutzt $E[S_N/N]=p$ und $\operatorname{Var}(S_N/N)=pq/N$, und schätzt $P(|S_N/N - p|\ge\varepsilon) \le \dfrac{pq}{N\varepsilon^2}$ ab. Man wählt dann $N$ so groß, dass diese obere Schranke kleiner/gleich der gewünschten (kleinen) Fehlerwahrscheinlichkeit ist."
"Wie lautet das Schwache Gesetz der großen Zahlen, und welche Voraussetzungen benötigt es?","Seien $X_1,X_2,\dots$ Zufallsvariablen (nicht notwendig identisch verteilt) mit $S_n=\sum_{i=1}^n X_i$. Voraussetzungen: alle $E[X_i]$ existieren und sind gleich ($=E[X_1]$); es gibt $C>0$ mit $\operatorname{Var}(X_i)\le C$ für alle $i$; die $X_i$ sind paarweise unkorreliert ($\operatorname{Cov}(X_i,X_j)=0$ für $i\neq j$). Dann gilt für jedes $\varepsilon>0$: $\lim_{n\to\infty} P\!\left(\left|\tfrac1n S_n - E[X_1]\right| \ge \varepsilon\right) = 0$."
"In welcher Beziehung stehen Unabhängigkeit, paarweise Unabhängigkeit und paarweise Unkorreliertheit?",Unabhängigkeit $\Rightarrow$ paarweise Unabhängigkeit $\Rightarrow$ paarweise Unkorreliertheit. Die Umkehrungen gelten im Allgemeinen nicht.
Wie verhält sich $E[\tfrac1n S_n]$ zu $E[X_1]$ im Kontext des schwachen Gesetzes der großen Zahlen?,"$E[\tfrac1n S_n] = E[X_1]$ (unter den Voraussetzungen des schwachen Gesetzes der großen Zahlen, insbesondere gleicher Erwartungswerte aller $X_i$)."
"Wozu kann man das Schwache Gesetz der großen Zahlen nutzen, wenn man eine unbekannte Erfolgswahrscheinlichkeit $p$ schätzen möchte?","Ist $S_n$ die Anzahl der Erfolge in $n$ unabhängig wiederholten Bernoulli-Experimenten mit unbekanntem Parameter $p$, so konvergiert die relative Häufigkeit $\tfrac1n S_n$ im Sinne des Gesetzes der großen Zahlen gegen $p$: Die Wahrscheinlichkeit, dass sie um mindestens $\varepsilon$ von $p$ abweicht, geht gegen 0. Man kann $\tfrac1n S_n$ also als Schätzer für $p$ verwenden."
"Wie ist die standardisierte Größe $x_k^{(n)}$ definiert, die beim lokalen zentralen Grenzwertsatz auftritt?","$x_k^{(n)} := \dfrac{k-np}{\sqrt{npq}}$ für $k=0,\dots,n$ -- der Abstand von $k$ zum Erwartungswert $np$ der Binomialverteilung, gemessen in Einheiten der Standardabweichung $\sqrt{npq}$."
Wie lautet der lokale zentrale Grenzwertsatz für die Binomialverteilung?,"Für jede Konstante $L>0$ gilt $B_{n,p}(k) \sim \dfrac{1}{\sqrt{2\pi npq}}\, e^{-(x_k^{(n)})^2/2}$ gleichmäßig für alle $k$ mit $|x_k^{(n)}|\le L$, wobei $f(n)\sim g(n) :\Leftrightarrow \lim_{n\to\infty} f(n)/g(n)=1$. Die Binomialwahrscheinlichkeit wird für großes $n$ also durch die Dichte der Standardnormalverteilung approximiert."
Wie lautet die Stirlingsche Formel zur Approximation von $n!$ für große $n$?,"$n! \sim \sqrt{2\pi n}\,\left(\dfrac{n}{e}\right)^n$ für große $n$."
Wie lautet die Stirlingsche Formel mit expliziter Fehlerabschätzung?,"$1 \le \dfrac{n!}{\sqrt{2\pi n}\,(n/e)^n} \le 1+\dfrac{1}{11n}$. Die Approximation verwendet die untere Schranke; der relative Fehler ist von der Ordnung $\tfrac1n$."
"Wie standardisiert man eine Zufallsvariable $X$ mit existierender Varianz, und welche Eigenschaften hat die standardisierte Größe?",$Y := \dfrac{X-E[X]}{\sqrt{\operatorname{Var}(X)}}$. Es gilt stets $E[Y]=0$ und $\operatorname{Var}(Y)=1$.
Wie lautet der Satz von de Moivre-Laplace?,"Sei $S_n$ die Anzahl der Erfolge in einem $n$-fach unabhängig wiederholten Bernoulli-Experiment mit Erfolgswahrscheinlichkeit $p\in(0,1)$, $q=1-p$. Dann gilt für alle Konstanten $-\infty<a<b<\infty$: $\lim_{n\to\infty} P\!\left(a < \dfrac{S_n-np}{\sqrt{npq}} \le b\right) = \displaystyle\int_a^b \varphi(x)\,dx$, wobei $\varphi(x)=\tfrac{1}{\sqrt{2\pi}}e^{-x^2/2}$ die Dichte der Standardnormalverteilung ist."
"Was ist die Dichte $\varphi$ der Standardnormalverteilung, und wie wird ihr Graph anschaulich genannt?","$\varphi(x) = \dfrac{1}{\sqrt{2\pi}}\, e^{-x^2/2}$. Der Graph von $\varphi$ ist die berühmte Gaußsche Glockenkurve."
Wie ist die Verteilungsfunktion $\Phi$ der Standardnormalverteilung definiert?,"$\Phi(y) = \displaystyle\int_{-\infty}^{y} \varphi(x)\,dx$, die Stammfunktion von $\varphi$. $\Phi(y)$ entspricht der Fläche unter der Glockenkurve von $-\infty$ bis $y$."
Welche Grenzwerte gelten für die Dichte und Verteilungsfunktion der Standardnormalverteilung?,"$\displaystyle\int_{-\infty}^{\infty}\varphi(x)\,dx = 1$ sowie $\Phi(y)\to 0$ für $y\to-\infty$ und $\Phi(y)\to 1$ für $y\to\infty$."
Welche Symmetrieeigenschaften hat die Standardnormalverteilung?,"Da $\varphi$ eine gerade Funktion ist, gilt $\Phi(0)=\tfrac12$ sowie $\Phi(z) = 1-\Phi(-z)$ für alle $z\in\mathbb{R}$."
"Worauf muss man achten, wenn man den Satz von de Moivre-Laplace auf ein Ereignis wie $\{c_1 \le S_n \le c_2\}$ mit ganzzahligem $S_n$ anwendet?","Der Satz ist für halboffene Intervalle der Form $a < \tfrac{S_n-np}{\sqrt{npq}} \le b$ formuliert. Da $S_n$ nur ganzzahlige Werte annimmt, muss man $\{c_1 \le S_n \le c_2\}$ zunächst als die identische Menge $\{c_1 - 1 < S_n \le c_2\}$ umschreiben, bevor man standardisiert und den Satz anwendet."
"Was ist die Stetigkeitskorrektur, und wozu dient sie?","Bei der Approximation von Wahrscheinlichkeiten für eine diskrete (ganzzahlige) Zufallsvariable $S_n$ durch die stetige Standardnormalverteilung verschiebt man die Intervallgrenzen zusätzlich um $\pm\tfrac12$ (z.B.\ wird $\{c_1 \le S_n \le c_2\}$ zu $\{c_1-\tfrac12 < S_n \le c_2+\tfrac12\}$), um die Diskretisierung besser zu berücksichtigen. Dies verbessert die Approximation häufig, aber nicht immer."
"Wie geht man vor, wenn man mit dem Satz von de Moivre-Laplace die Wahrscheinlichkeit eines einseitig beschränkten Ereignisses wie $\{S_n \ge c\}$ approximieren möchte, obwohl der Satz beidseitige Schranken $a<\cdot\le b$ voraussetzt?","Man ergänzt künstlich eine triviale obere Schranke, z.B.\ $S_n \le n$ (da $S_n$ ohnehin nicht größer als $n$ sein kann), schreibt also $\{S_n\ge c\} = \{c-1 < S_n \le n\}$, und wendet den Satz auf dieses beidseitig beschränkte Intervall an."
Welche Näherungsformel ergibt sich (bei Anwendbarkeit des Satzes von de Moivre-Laplace) für $P(S_n > c)$?,$P(S_n > c) \approx 1 - \Phi\!\left(\dfrac{c-np}{\sqrt{npq}}\right)$ für großes $n$ (da die obere Standardisierungsgrenze gegen $\infty$ strebt und $\Phi$ dort gegen 1 geht).
Welche Näherungsformel ergibt sich für $P(S_n \le d)$?,$P(S_n \le d) \approx \Phi\!\left(\dfrac{d-np}{\sqrt{npq}}\right)$ für großes $n$ (da die untere Standardisierungsgrenze gegen $-\infty$ strebt und $\Phi$ dort gegen 0 geht).
Warum trägt eine Intervallgrenze bei einer Anwendung des Satzes von de Moivre-Laplace manchmal praktisch nicht zur approximierten Wahrscheinlichkeit bei?,"Wenn diese Grenze nach Standardisierung sehr weit von 0 entfernt liegt, ist der zugehörige $\Phi$-Wert bereits extrem nah an 0 oder 1. Das passt zum Gesetz der großen Zahlen: Liegt eine Grenze weit von der durch $p$ vorgegebenen typischen relativen Häufigkeit entfernt, wird sie für wachsendes $n$ so gut wie nie unter- bzw.\ überschritten, während eine Grenze nahe am typischen Bereich noch deutlich ins Gewicht fällt."
